Species,Mean,5th-pct,50th-pct,95th-pct
pigs,1.0,1.0,1.0,1.0
chickens,0.718,0.558,0.71,0.907
bees,0.66,0.492,0.66,0.848
carp,0.609,0.449,0.602,0.791
octopuses,0.59,0.444,0.581,0.755
salmon,0.452,0.33,0.449,0.572
crayfish,0.347,0.231,0.347,0.463
shrimp,0.287,0.177,0.285,0.399
crabs,0.238,0.154,0.235,0.325
bsf,0.187,0.1,0.185,0.273
silkworms,0.166,0.08,0.167,0.25
