Species,Mean,5th-pct,50th-pct,95th-pct
pigs,1.0,1.0,1.0,1.0
chickens,0.685,0.441,0.677,0.96
octopuses,0.504,0.256,0.495,0.777
bees,0.34,0.029,0.31,0.718
carp,0.303,0.052,0.23,0.674
salmon,0.223,0.037,0.168,0.494
crayfish,0.172,0.03,0.13,0.391
shrimp,0.136,0.023,0.104,0.311
crabs,0.111,0.018,0.084,0.256
bsf,0.06,0.012,0.048,0.138
silkworms,0.015,0.0,0.008,0.049
