Species,Mean,5th-pct,50th-pct,95th-pct
pigs,1.0,1.0,1.0,1.0
chickens,0.529,0.272,0.494,0.887
octopuses,0.281,0.129,0.263,0.501
carp,0.246,0.105,0.228,0.451
bees,0.245,0.11,0.228,0.441
salmon,0.1,0.044,0.094,0.178
crayfish,0.057,0.021,0.052,0.112
shrimp,0.027,0.008,0.024,0.055
crabs,0.026,0.008,0.023,0.054
bsf,0.008,0.002,0.007,0.018
silkworms,0.007,0.001,0.006,0.017
