Species,Mean,5th-pct,50th-pct,95th-pct
pigs,1.0,1.0,1.0,1.0
chickens,0.71,0.372,0.72,1.003
octopuses,0.684,0.199,0.576,1.865
bees,0.541,0.173,0.573,0.87
carp,0.622,0.169,0.566,1.434
salmon,0.456,0.073,0.422,1.252
crayfish,0.384,0.038,0.32,1.322
shrimp,0.543,0.017,0.272,2.819
crabs,0.297,0.019,0.222,1.158
bsf,0.212,0.005,0.158,0.837
silkworms,0.281,0.004,0.147,1.416
