Species,Mean,5th-pct,50th-pct,95th-pct
pigs,1.0,1.0,1.0,1.0
chickens,0.48,0.211,0.435,0.907
octopuses,0.281,0.111,0.249,0.545
bees,0.244,0.093,0.224,0.477
carp,0.252,0.093,0.223,0.506
salmon,0.102,0.037,0.093,0.192
crayfish,0.055,0.014,0.049,0.116
shrimp,0.026,0.005,0.022,0.061
crabs,0.026,0.006,0.022,0.058
bsf,0.008,0.001,0.006,0.02
silkworms,0.006,0.001,0.005,0.016
